squad_id,line,name,m,ws,bs,s,t,w,a,ld,sv,cost,cost_description,models_per_unit,cost_including_wargear,base_size,base_size_descr
1,1,Warboss,"5""",2+,5+,6,6,6,5,8,4+,90,,1,FALSE,40mm,
2,1,Warboss in Mega Armour,"5""",2+,5+,6,6,7,5,8,2+,115,,1,FALSE,50mm,
3,1,Warboss on Warbike,"14""",2+,5+,6,7,7,5,8,4+,115,,1,FALSE,100 x 40mm,
4,1,Weirdboy,"5""",3+,5+,5,5,5,3,6,6+,70,,1,FALSE,40mm,
5,1,Big Mek,"5""",3+,5+,5,4,4,3,7,4+,55,,1,FALSE,32mm,
5,2,Grot Oiler,"5""",5+,4+,2,2,1,1,4,6+,4,,0-1,FALSE,25mm,
6,1,Big Mek in Mega Armour,"4""",3+,4+,5,5,6,3,8,2+,85,,1,FALSE,40mm,Grot oiler 25mm
7,1,Big Mek on Warbike,"14""",3+,5+,5,5,5,3,7,4+,81,,1,FALSE,90 x 52mm,
8,1,Ghazghkull Thraka,"7""",2+,5+,7,7,12,5,8,2+,300,,1,FALSE,80mm,
9,1,Kaptin Badrukk,"5""",2+,4+,5,6,6,5,8,3+,95,,1,FALSE,40mm,Ammo runt 25mm
10,1,Boss Zagstruk,"12""",2+,5+,6,6,6,6,7,4+,110,,1,FALSE,40mm,
11,1,Boss Snikrot,"6""",2+,5+,6,6,6,6,7,6+,95,,1,FALSE,40mm,
12,1,Mek,"5""",3+,5+,4,5,3,2,6,6+,25,,1,FALSE,32mm,Grot oiler 25mm
13,1,Painboy,"5""",3+,5+,5,5,4,4,8,6+,60,,1,FALSE,32mm,
14,1,Painboy on Warbike,"14""",3+,5+,5,5,5,4,6,4+,90,,1,FALSE,90 x 52mm,
15,1,Mad Dok Grotsnik,"5""",2+,5+,5,5,4,4,8,4+,85,,1,FALSE,32mm,
16,1,Ork Boy,"5""",3+,5+,4,5,1,2,6,6+,8,,9-29,FALSE,32mm,
16,2,Boss Nob,"5""",3+,5+,5,5,2,3,7,6+,8,,1,FALSE,32mm,
17,1,Gretchin,"5""",5+,4+,2,3,1,1,4,7+,4,,10-30,FALSE,25mm,
18,1,Runtherd,"5""",3+,5+,4,5,4,3,7,6+,30,,1,FALSE,32mm,
19,1,Burna Boy,"5""",3+,5+,4,5,1,2,6,6+,10,,4-12,FALSE,32mm,
19,2,Spanner,"5""",3+,5+,4,5,1,2,6,6+,10,,1-3,FALSE,32mm,
20,1,Tankbusta,"5""",3+,5+,4,5,1,2,6,6+,16,,4-14,FALSE,32mm,Bomb squig 25mm
20,2,Boss Nob,"5""",3+,5+,5,5,2,3,7,6+,16,,1,FALSE,32mm,
21,1,Nob,"5""",3+,5+,5,5,2,3,7,4+,17,,4-9,FALSE,32mm,Ammo runt 25mm
21,2,Boss Nob,"5""",3+,5+,5,5,2,3,7,4+,17,,1,FALSE,32mm,
22,1,Nob with Waaagh! Banner,"5""",3+,5+,5,5,4,3,7,4+,70,,1,FALSE,32mm,
24,1,Meganob,"5""",3+,5+,5,5,3,3,7,2+,30,,2-9,FALSE,40mm,
24,2,Boss Meganob,"5""",3+,5+,5,5,3,3,7,2+,30,,1,FALSE,40mm,
25,1,Kommando,"6""",3+,5+,4,5,1,2,6,6+,11,,4-14,FALSE,32mm,
25,2,Boss Nob,"6""",3+,5+,5,5,2,3,7,6+,11,,1,FALSE,32mm,
26,1,Trukk,"12""",5+,5+,6,6,10,3,6,4+,70,,1,FALSE,Use model,
27,1,Stormboy,"12""",3+,5+,4,5,1,2,6,6+,10,,4-14,FALSE,32mm,
27,2,Boss Nob,"12""",3+,5+,5,5,2,3,7,6+,10,,1,FALSE,32mm,
28,1,Deffkopta,"14""",3+,5+,4,5,4,2,6,4+,50,,3-6,FALSE,75 x 42mm,
29,1,Dakkajet,"20-60""",5+,5+,6,6,12,3,6,4+,100,,1,FALSE,120 x 92mm flying base,
30,1,Burna-bommer,"20-60""",5+,5+,6,6,12,3,6,4+,135,,1,FALSE,120 x 92mm flying base,
31,1,Blitza-bommer,"20-60""",5+,5+,6,6,12,3,6,4+,150,,1,FALSE,120 x 92mm flying base,
32,1,Wazbom Blastajet,"20-60""",5+,4+,6,6,12,3,6,4+,170,,1,FALSE,120 x 92mm flying base,
33,1,Warbiker,"14""",3+,5+,4,5,3,2,6,4+,25,,2-8,FALSE,75 x 42mm,
33,2,Boss Nob on Warbike,"14""",3+,5+,5,5,4,3,7,4+,25,,1,FALSE,75 x 42mm,
34,1,Wartrakk,"12""",3+,5+,4,5,6,4,6,4+,37,,1-5,FALSE,Use model,
35,1,Skorcha,"12""",3+,5+,4,5,6,4,6,4+,37,,1-5,FALSE,Use model,
36,1,Warbuggy,"14""",3+,5+,4,5,5,4,6,4+,33,,1-5,FALSE,Use model,
37,1,Big Gun,"3""",5+,4+,2,5,3,2,4,5+,8,,1-6,FALSE,Use model,
38,1,Mek Gun,"3""",5+,4+,2,5,6,6,4,5+,40,,1-3,FALSE,Use model,
39,1,Battlewagon,"12""",5+,5+,8,7,16,6,7,3+,105,,1,FALSE,Use model,
40,1,Deff Dread,"6""",3+,5+,5,7,8,3,7,3+,85,,1-3,FALSE,60mm,
41,1,Killa Kan,"6""",4+,4+,5,5,5,3,6,3+,30,,3-6,FALSE,60mm,
42,1,Morkanaut,"8""",3+,5+,8,8,24,4,7,3+,315,,1,FALSE,170 x 109mm,
43,1,Gorkanaut,"8""",3+,5+,8,8,24,5,7,3+,330,,1,FALSE,170 x 109mm,
44,1,Loota,"5""",3+,5+,4,5,1,2,6,6+,14,,4-12,FALSE,32mm,
44,2,Spanner,"5""",3+,5+,4,5,1,2,6,6+,14,,1-3,FALSE,32mm,
45,1,Flash Git,"5""",3+,4+,5,5,2,3,7,4+,20,,4-9,FALSE,40mm,Ammo runt 25mm
45,2,Kaptin,"5""",3+,4+,5,5,2,3,7,4+,20,,1,FALSE,40mm,
46,1,Stompa,"10""",3+,5+,10,8,40,6,8,3+,675,,1,FALSE,Use model,
47,1,Zhadsnark da Ripper,"14""",2+,5+,6,6,7,5,8,4+,120,,1,FALSE,100 x 40mm,
