id,category_id,name,description,banner_url
AS,2,Adepta Soroitas,"The Adepta Sororitas, fervent warriors of faith, wield holy zeal and righteous fury. Clad in sacred armor, they fight for the Emperors will, embodying unshakable devotion and valor in their crusade against heresy.",https://placehold.co/600x400
AC,2,Adeptus Custodes,"The Adeptus Custodes, golden guardians of the Emperor, are paragons of martial skill. Clad in auric armor, they defend Terra with unmatched prowess, embodying unwavering loyalty and peerless strength in the Emperors name.",https://placehold.co/600x400
AdM,2,Adeptus Mechanicus,"The Adeptus Mechanicus, devotees of technology, seek the Omnissiahs knowledge. Clad in crimson robes, they merge flesh and metal, pursuing innovation with sacred reverence, guarding ancient lore and machine secrets.",https://placehold.co/600x400
AE,4,Aeldari,"The Aeldari, ancient and enigmatic, wield unparalleled grace and psychic might. Clad in sleek armor, they navigate the warp, seeking redemption and survival, mastering ancient technology and foresight in a galaxy of turmoil.",https://placehold.co/600x400
AoI,2,Agents of the Imperium,"The Agents of the Imperium, clandestine operatives, navigate shadows for the Emperor. Clad in secrecy, they wield intrigue and espionage, safeguarding humanity through covert operations and vigilance against unseen threats.",https://placehold.co/600x400
AM,2,Astra Militarum,"The Astra Militarum, vast human regiments, stand as the Imperiums bulwark. Clad in uniform, they fight tirelessly, embodying courage and sacrifice in the face of overwhelming odds, defending humanity with unyielding resolve.",https://placehold.co/600x400
CHBT,1,Black Templars,"The Black Templars, zealous crusaders, embody relentless fervor in war. Adorned in ebony armor, they pursue foes with unwavering zeal, their righteous fury unmatched as they crusade in the Emperors name.",https://placehold.co/600x400
CHBA,1,Blood Angels,"The Blood Angels, noble yet tormented, wield angelic fury and unmatched courage. Donning red-hued armor, they battle with grace and ferocity, haunted by a dark legacy yet bound by unyielding honor.",https://placehold.co/600x400
CD,3,Chaos Daemons,"The Chaos Daemons, manifestations of malevolence, surge from the Warps depths. Unbound by form, they embody the dark desires of their patron gods, an ever-shifting tide of terror and otherworldly power.",https://placehold.co/600x400
QT,3,Chaos Knights,"The Chaos Knights, renegade war engines, march with malevolent might. Clad in dark armor, they bring ruin, forsaking loyalty for Chaos, leaving destruction in their wake as they serve the dark powers with relentless fervor.",https://placehold.co/600x400
CSM,3,Chaos Space Marines,"The Chaos Space Marines, fallen brethren of the Imperium, wield dark powers and ancient hatred. Corrupted by Chaos, they wage war with twisted loyalty, clad in malevolent armor and fueled by a thirst for vengeance against their former allies.",https://placehold.co/600x400
CHDA,1,Dark Angels,"The Dark Angels, enigmatic and haunted, bear secrets in their shadowed past. Clad in midnight-hued armor, they hunt the truth with relentless determination, carrying the weight of ancient sins amidst unyielding loyalty.",https://placehold.co/600x400
